category,percentual
Java,0.29721
Internet,0.12693
Microsoft .NET,0.10526
Web Development,0.05263
Software Engineering,0.04954
Programming,0.03715
Business,0.03715
Client-Server,0.03406
Microsoft,0.02477
PowerBuilder,0.02167
Networking,0.02167
Theory,0.02167
Computer Graphics,0.01858
Python,0.01858
Mobile Technology,0.01858
Perl,0.01858
Object-Oriented Programming,0.01238
XML,0.01238
Open Source,0.00619
Miscellaneous,0.00619
,0.00619
Mobile,0.0031
Next Generation Databases,0.0031
S,0.0031
P,0.0031
java,0.0031
Microsoft/.NET,0.0031
Miscella,0.0031
Object-Technology Programming,0.0031
internet,0.0031
.NET,0.0031
Algorithmic Art,0.0031
PHP,0.0031
SOA,0.0031
Computer Graph,0.0031
Client Server,0.0031
In Action,0.0031
Software Development,0.0031
